# depth,power
0.000000000000000000e+00,-9.283571250000000095e-08
1.024000000000000000e+03,-9.283571250000000095e-08
2.048000000000000000e+03,-9.283571250000000095e-08
3.072000000000000000e+03,-8.758227209999999874e-08
4.096000000000000000e+03,-9.283571250000000095e-08
5.120000000000000000e+03,-8.758227209999999874e-08
6.144000000000000000e+03,-1.400974979999999937e-07
7.168000000000000000e+03,-8.758227209999999874e-08
8.192000000000000000e+03,-9.808532300000000155e-08
9.216000000000000000e+03,-7.707922830000000316e-08
1.024000000000000000e+04,-1.295944539999999948e-07
1.126400000000000000e+04,-7.182962489999999655e-08
1.228800000000000000e+04,-5.082353029999999985e-08
1.331200000000000000e+04,-1.033387629999999970e-07
1.433600000000000000e+04,-8.758227209999999874e-08
1.536000000000000000e+04,-8.233266870000000536e-08
1.638400000000000000e+04,-7.182962489999999655e-08
1.740800000000000000e+04,-9.808532300000000155e-08
1.843200000000000000e+04,-8.758227209999999874e-08
1.945600000000000000e+04,-9.808532300000000155e-08
2.048000000000000000e+04,-6.132657399999999374e-08
2.150400000000000000e+04,-9.283571250000000095e-08
2.252800000000000000e+04,-9.283571250000000095e-08
2.355200000000000000e+04,-7.182962489999999655e-08
2.457600000000000000e+04,-1.138418069999999960e-07
2.560000000000000000e+04,-6.657618460000000265e-08
2.662400000000000000e+04,-8.233266870000000536e-08
2.764800000000000000e+04,-8.758227209999999874e-08
2.867200000000000000e+04,-8.233266870000000536e-08
2.969600000000000000e+04,-6.132657399999999374e-08
3.072000000000000000e+04,-1.033387629999999970e-07
3.174400000000000000e+04,-6.132657399999999374e-08
3.276800000000000000e+04,-6.657618460000000265e-08
3.379200000000000000e+04,-4.557392329999999870e-08
3.481600000000000000e+04,-8.758227209999999874e-08
3.584000000000000000e+04,-7.707922830000000316e-08
3.686400000000000000e+04,-5.082353029999999985e-08
3.788800000000000000e+04,1.219091139999999966e-08
3.891200000000000000e+04,-8.811346319999999506e-09
3.993600000000000000e+04,2.794739730000000129e-08
4.096000000000000000e+04,4.894965499999999747e-08
4.198400000000000000e+04,8.045879699999999752e-08
4.300800000000000000e+04,1.119679280000000040e-07
4.403200000000000000e+04,1.434770670000000130e-07
4.505600000000000000e+04,1.959884630000000064e-07
4.608000000000000000e+04,2.327472119999999877e-07
4.710400000000000000e+04,2.905120479999999898e-07
4.812800000000000000e+04,3.640333550000000053e-07
4.915200000000000000e+04,4.270478089999999955e-07
5.017600000000000000e+04,4.848126309999999733e-07
5.120000000000000000e+04,5.688331730000000143e-07
5.222400000000000000e+04,6.633567300000000285e-07
5.324800000000000000e+04,7.526306830000000260e-07
5.427200000000000000e+04,8.208986059999999713e-07
5.529600000000000000e+04,9.364282500000000327e-07
5.632000000000000000e+04,1.020448739999999991e-06
5.734400000000000000e+04,1.093966260000000033e-06
5.836800000000000000e+04,1.219999040000000083e-06
5.939200000000000000e+04,1.304019520000000005e-06
6.041600000000000000e+04,1.403796549999999989e-06
6.144000000000000000e+04,1.477314070000000032e-06
6.246400000000000000e+04,1.556084950000000057e-06
6.348800000000000000e+04,1.624352880000000028e-06
6.451200000000000000e+04,1.687367330000000004e-06
6.553500000000000000e+04,1.734629110000000016e-06
