# depth,power
0.000000000000000000e+00,-1.348440580000000115e-07
1.024000000000000000e+03,-1.295944539999999948e-07
2.048000000000000000e+03,-1.663532030000000026e-07
3.072000000000000000e+03,-1.400974979999999937e-07
4.096000000000000000e+03,-1.453471160000000083e-07
5.120000000000000000e+03,-1.453471160000000083e-07
6.144000000000000000e+03,-1.400974979999999937e-07
7.168000000000000000e+03,-1.716028069999999929e-07
8.192000000000000000e+03,-1.506005559999999905e-07
9.216000000000000000e+03,-2.031119520000000104e-07
1.024000000000000000e+04,-1.400974979999999937e-07
1.126400000000000000e+04,-1.400974979999999937e-07
1.228800000000000000e+04,-1.558501590000000036e-07
1.331200000000000000e+04,-1.295944539999999948e-07
1.433600000000000000e+04,-1.873592910000000005e-07
1.536000000000000000e+04,-1.506005559999999905e-07
1.638400000000000000e+04,-1.506005559999999905e-07
1.740800000000000000e+04,-1.506005559999999905e-07
1.843200000000000000e+04,-1.348440580000000115e-07
1.945600000000000000e+04,-1.873592910000000005e-07
2.048000000000000000e+04,-1.243410140000000126e-07
2.150400000000000000e+04,-1.190914109999999995e-07
2.252800000000000000e+04,-1.295944539999999948e-07
2.355200000000000000e+04,-1.295944539999999948e-07
2.457600000000000000e+04,-1.295944539999999948e-07
2.560000000000000000e+04,-1.295944539999999948e-07
2.662400000000000000e+04,-1.716028069999999929e-07
2.764800000000000000e+04,-1.190914109999999995e-07
2.867200000000000000e+04,-1.453471160000000083e-07
2.969600000000000000e+04,-1.506005559999999905e-07
3.072000000000000000e+04,-1.295944539999999948e-07
3.174400000000000000e+04,-1.033387629999999970e-07
3.276800000000000000e+04,-1.348440580000000115e-07
3.379200000000000000e+04,-1.243410140000000126e-07
3.481600000000000000e+04,-1.085883670000000005e-07
3.584000000000000000e+04,-1.506005559999999905e-07
3.686400000000000000e+04,-1.558501590000000036e-07
3.788800000000000000e+04,-1.558501590000000036e-07
3.891200000000000000e+04,-1.400974979999999937e-07
3.993600000000000000e+04,-1.506005559999999905e-07
4.096000000000000000e+04,-1.558501590000000036e-07
4.198400000000000000e+04,-1.821058499999999882e-07
4.300800000000000000e+04,-1.400974979999999937e-07
4.403200000000000000e+04,-1.348440580000000115e-07
4.505600000000000000e+04,-1.558501590000000036e-07
4.608000000000000000e+04,-1.400974979999999937e-07
4.710400000000000000e+04,-1.243410140000000126e-07
4.812800000000000000e+04,-1.295944539999999948e-07
4.915200000000000000e+04,-1.243410140000000126e-07
5.017600000000000000e+04,-1.453471160000000083e-07
5.120000000000000000e+04,-1.558501590000000036e-07
5.222400000000000000e+04,-1.453471160000000083e-07
5.324800000000000000e+04,-1.506005559999999905e-07
5.427200000000000000e+04,-1.190914109999999995e-07
5.529600000000000000e+04,-1.506005559999999905e-07
5.632000000000000000e+04,-1.821058499999999882e-07
5.734400000000000000e+04,-1.873592910000000005e-07
5.836800000000000000e+04,-1.348440580000000115e-07
5.939200000000000000e+04,-1.243410140000000126e-07
6.041600000000000000e+04,-1.400974979999999937e-07
6.144000000000000000e+04,-1.348440580000000115e-07
6.246400000000000000e+04,-1.400974979999999937e-07
6.348800000000000000e+04,-1.506005559999999905e-07
6.451200000000000000e+04,-9.283571250000000095e-08
6.553500000000000000e+04,-1.453471160000000083e-07
